Date,Open,High,Low,Close,Adj Close,Volume
2017-04-10,149.399994,153.000000,148.550003,152.250000,152.250000,6333658
2017-04-11,152.399994,159.899994,152.199997,158.250000,158.250000,16514618
2017-04-12,158.000000,160.000000,154.600006,158.800003,158.800003,8897267
2017-04-13,158.100006,162.300003,155.149994,156.300003,156.300003,11314637
2017-04-17,156.300003,159.250000,154.000000,158.800003,158.800003,7391840
2017-04-18,158.750000,163.500000,155.000000,155.899994,155.899994,11678752
2017-04-19,156.649994,158.500000,149.350006,153.199997,153.199997,11838556
2017-04-20,154.100006,157.850006,152.100006,154.850006,154.850006,8232953
2017-04-21,155.899994,157.199997,152.550003,154.899994,154.899994,7156933
2017-04-24,155.449997,157.000000,154.199997,155.149994,155.149994,7810199
2017-04-25,156.600006,162.000000,155.800003,161.100006,161.100006,14159303
2017-04-26,161.949997,169.600006,161.000000,167.149994,167.149994,23060379
2017-04-27,165.750000,167.899994,162.649994,164.699997,164.699997,12027538
2017-04-28,165.300003,170.699997,164.750000,168.850006,168.850006,14727193
2017-05-02,170.000000,174.250000,169.850006,170.699997,170.699997,12782804
2017-05-03,172.000000,178.000000,169.199997,174.899994,174.899994,19280628
2017-05-04,178.500000,180.399994,175.399994,179.449997,179.449997,15515354
2017-05-05,181.750000,185.800003,171.600006,174.300003,174.300003,25487298
2017-05-08,174.449997,177.300003,172.000000,176.100006,176.100006,11955725
2017-05-09,177.000000,177.199997,171.050003,173.600006,173.600006,11702741
2017-05-10,174.000000,175.449997,170.800003,172.149994,172.149994,6404722
2017-05-11,172.600006,176.199997,171.100006,172.000000,172.000000,8622609
2017-05-12,172.000000,174.050003,167.100006,169.149994,169.149994,8539232
2017-05-15,169.949997,171.300003,166.199997,166.800003,166.800003,7476618
2017-05-16,167.350006,178.000000,164.800003,174.149994,174.149994,51532461
2017-05-17,173.000000,173.100006,164.300003,165.050003,165.050003,26536944
2017-05-18,163.399994,164.399994,157.899994,158.500000,158.500000,13905573
2017-05-19,159.500000,162.250000,154.100006,155.199997,155.199997,16311602
2017-05-22,157.500000,158.000000,150.250000,150.949997,150.949997,11857847
2017-05-23,151.949997,154.350006,145.550003,149.750000,149.750000,18177361
2017-05-24,149.699997,152.350006,146.500000,147.449997,147.449997,12578488
2017-05-25,148.500000,151.899994,144.350006,150.699997,150.699997,18805386
2017-05-26,151.000000,153.300003,149.600006,150.649994,150.649994,9285518
2017-05-29,150.449997,151.850006,143.050003,145.100006,145.100006,8154328
2017-05-30,143.899994,148.000000,142.399994,146.350006,146.350006,10767305
2017-05-31,146.850006,151.600006,145.000000,150.500000,150.500000,16851657
2017-06-01,151.000000,152.300003,149.250000,151.899994,151.899994,9103808
2017-06-02,153.399994,154.050003,150.899994,153.050003,153.050003,7997880
2017-06-05,153.449997,154.750000,152.800003,153.800003,153.800003,5133407
2017-06-06,154.100006,154.500000,149.050003,149.500000,149.500000,6081488
2017-06-07,149.500000,153.000000,149.250000,152.350006,152.350006,7023536
2017-06-08,152.800003,153.149994,150.750000,151.300003,151.300003,5183430
2017-06-09,151.000000,152.750000,149.649994,152.149994,152.149994,4215439
2017-06-12,151.000000,151.000000,147.500000,148.399994,148.399994,6329251
2017-06-13,148.800003,150.500000,147.500000,148.750000,148.750000,4610203
2017-06-14,149.600006,152.699997,148.300003,152.000000,152.000000,8829217
2017-06-15,148.600006,150.699997,146.699997,147.449997,147.449997,12486764
2017-06-16,148.500000,148.899994,146.699997,147.649994,147.649994,6445657
2017-06-19,148.500000,149.000000,146.800003,147.250000,147.250000,3972793
2017-06-20,146.899994,147.600006,143.500000,143.899994,143.899994,11058383
2017-06-21,144.100006,146.649994,143.500000,146.199997,146.199997,6615254
2017-06-22,146.949997,147.899994,144.750000,145.550003,145.550003,4476023
2017-06-23,145.750000,146.550003,142.100006,143.899994,143.899994,6011716
2017-06-27,144.399994,144.399994,135.600006,137.000000,137.000000,11185507
2017-06-28,134.399994,138.250000,132.649994,136.500000,136.500000,10796349
2017-06-29,138.000000,139.750000,134.800003,138.050003,138.050003,9372758
2017-06-30,136.850006,138.600006,135.500000,137.300003,137.300003,5476662
2017-07-03,137.500000,140.000000,136.600006,139.250000,139.250000,4541871
2017-07-04,139.399994,140.350006,135.800003,136.550003,136.550003,4799590
2017-07-05,136.399994,137.600006,135.250000,136.600006,136.600006,6423645
2017-07-06,140.449997,144.199997,139.750000,143.300003,143.300003,16877517
2017-07-07,143.600006,144.800003,142.449997,144.199997,144.199997,6501418
2017-07-10,149.800003,154.250000,149.000000,153.250000,153.250000,6633454
2017-07-11,154.350006,155.100006,148.699997,149.399994,149.399994,10977204
2017-07-12,149.850006,152.899994,148.399994,152.350006,152.350006,7270322
2017-07-13,153.899994,154.949997,151.000000,152.250000,152.250000,5383408
2017-07-14,150.000000,154.899994,150.000000,153.649994,153.649994,7808933
2017-07-17,153.350006,154.000000,151.500000,152.899994,152.899994,7437053
2017-07-18,152.899994,158.949997,151.899994,154.850006,154.850006,12397695
2017-07-19,156.600006,158.850006,155.649994,158.300003,158.300003,6062912
2017-07-20,156.949997,158.699997,155.899994,156.750000,156.750000,5441983
2017-07-21,158.000000,159.699997,155.949997,158.250000,158.250000,6926819
2017-07-24,158.500000,163.399994,158.000000,161.300003,161.300003,8443748
